,date,number_occurrences
0,2021-12-06-1,0.0
1,2021-12-02-1,0.0
2,2021-12-08-1,0.0
3,2021-11-26-1,0.0
4,2021-12-12-1,0.0
5,2021-12-18-1,755.0
6,2021-12-16-1,0.0
7,2021-11-22-1,0.0
8,2021-11-28-1,0.0
9,2021-12-20-1,849.5
10,2021-12-05-1,0.0
11,2021-12-01-1,171.0
12,2021-12-11-1,0.0
13,2021-11-25-1,0.0
14,2021-12-15-1,0.0
15,2021-12-21-1,835.0
16,2021-11-30-1,0.0
17,2021-12-04-1,0.0
18,2021-12-10-1,0.0
19,2021-11-24-1,0.0
20,2021-12-14-1,0.0
21,2021-12-07-1,0.0
22,2021-12-09-1,0.0
23,2021-12-03-1,0.0
24,2021-11-27-1,0.0
25,2021-12-19-1,839.5
26,2021-12-13-1,0.0
27,2021-12-17-1,0.0
28,2021-11-29-1,0.0
29,2021-11-23-1,0.0
